H	1,0078
He	4,0026
Li	6,938
Be	9,0121
B   10,806
C	12,009
N	14,006
O	15,999
F	18,998
Ne	20,179
Na	22,989
Mg	24,304
Al	26,981
Si	28,084
P	30,973
S	32,059
Cl	35,446
Ar	39,948
K	39,098
Ca	40,078
Sc	44,955
Ti	47,867
V	50,941
Cr	51,996
Mn	54,938
Fe	55,845
Co	58,933
Ni	58,693
Cu	63,546
Zn	65,38
Ga	69,723
Ge	72,630
As	74,921
Se	78,971
Br	79,901
Kr	83,798
Rb	85,467
Sr	87,62
Y	88,905
Zr	91,224
Nb	92,906
Mo	95,95
Tc	97,907
Ru	101,07
Rh	102,90
Pd	106,42
Ag	107,86
Cd	112,41
In	114,81
Sn	118,71
Sb	121,76
Te	127,60
I   126,90
Xe	131,29
Cs	132,90
Ba	137,32
La	138,90
Ce	140,11
Pr	140,90
Nd	144,24
Pm	144,91
Sm	150,36
Eu	151,96
Gd	157,25
Tb	158,92
Dy	162,50
Ho	164,93
Er	167,25
Tm	168,93
Yb	173,04
Lu	174,96
Hf	178,49
Ta	180,94
W	183,84
Re	186,20
Os	190,23
Ir	192,21
Pt	195,08
Au	196,96
Hg	200,59
Tl	204,38
Pb	207,2
Bi	208,98
Po	208,98
At	209,98
Rn	222,01
Fr	223,01
Ra	226,02
Ac	227,02
Th	232,03
Pa	231,03
U	238,02
Np	237,04
Pu	244,06
Am	243,06
Cm	247,07
Bk	247,07
Cf	251,07
Es	252,08
Fm	257,09
Md	258,1
No	259,10
Lr	266,0
Rf	267,0
Db	268,0
Sg	269,0
Bh	270,0
